"filename", "language", "JSON", "Log", "ShaderLab", "HLSL", "C#", "XML", "comment", "blank", "total"
"c:\Users\gamesum-10\Scientist's Chamber\Assembly-CSharp-firstpass.csproj", "XML", 0, 0, 0, 0, 0, 755, 7, 1, 763
"c:\Users\gamesum-10\Scientist's Chamber\Assembly-CSharp.csproj", "XML", 0, 0, 0, 0, 0, 788, 7, 1, 796
"c:\Users\gamesum-10\Scientist's Chamber\Assets\ImportedAssets\TextMesh Pro\Shaders\TMP_Bitmap-Custom-Atlas.shader", "ShaderLab", 0, 0, 109, 0, 0, 0, 2, 33, 144
"c:\Users\gamesum-10\Scientist's Chamber\Assets\ImportedAssets\TextMesh Pro\Shaders\TMP_Bitmap-Mobile.shader", "ShaderLab", 0, 0, 112, 0, 0, 0, 3, 31, 146
"c:\Users\gamesum-10\Scientist's Chamber\Assets\ImportedAssets\TextMesh Pro\Shaders\TMP_Bitmap.shader", "ShaderLab", 0, 0, 109, 0, 0, 0, 2, 33, 144
"c:\Users\gamesum-10\Scientist's Chamber\Assets\ImportedAssets\TextMesh Pro\Shaders\TMP_SDF Overlay.shader", "ShaderLab", 0, 0, 243, 0, 0, 0, 4, 71, 318
"c:\Users\gamesum-10\Scientist's Chamber\Assets\ImportedAssets\TextMesh Pro\Shaders\TMP_SDF SSD.shader", "ShaderLab", 0, 0, 241, 0, 0, 0, 4, 66, 311
"c:\Users\gamesum-10\Scientist's Chamber\Assets\ImportedAssets\TextMesh Pro\Shaders\TMP_SDF-Mobile Masking.shader", "ShaderLab", 0, 0, 188, 0, 0, 0, 10, 50, 248
"c:\Users\gamesum-10\Scientist's Chamber\Assets\ImportedAssets\TextMesh Pro\Shaders\TMP_SDF-Mobile Overlay.shader", "ShaderLab", 0, 0, 183, 0, 0, 0, 8, 50, 241
"c:\Users\gamesum-10\Scientist's Chamber\Assets\ImportedAssets\TextMesh Pro\Shaders\TMP_SDF-Mobile SSD.shader", "ShaderLab", 0, 0, 82, 0, 0, 0, 4, 21, 107
"c:\Users\gamesum-10\Scientist's Chamber\Assets\ImportedAssets\TextMesh Pro\Shaders\TMP_SDF-Mobile.shader", "ShaderLab", 0, 0, 183, 0, 0, 0, 8, 50, 241
"c:\Users\gamesum-10\Scientist's Chamber\Assets\ImportedAssets\TextMesh Pro\Shaders\TMP_SDF-Surface-Mobile.shader", "ShaderLab", 0, 0, 103, 0, 0, 0, 8, 28, 139
"c:\Users\gamesum-10\Scientist's Chamber\Assets\ImportedAssets\TextMesh Pro\Shaders\TMP_SDF-Surface.shader", "ShaderLab", 0, 0, 122, 0, 0, 0, 4, 33, 159
"c:\Users\gamesum-10\Scientist's Chamber\Assets\ImportedAssets\TextMesh Pro\Shaders\TMP_SDF.shader", "ShaderLab", 0, 0, 243, 0, 0, 0, 4, 71, 318
"c:\Users\gamesum-10\Scientist's Chamber\Assets\ImportedAssets\TextMesh Pro\Shaders\TMP_Sprite.shader", "ShaderLab", 0, 0, 97, 0, 0, 0, 0, 20, 117
"c:\Users\gamesum-10\Scientist's Chamber\Assets\ImportedAssets\TextMesh Pro\Shaders\TMPro.cginc", "HLSL", 0, 0, 0, 63, 0, 0, 2, 20, 85
"c:\Users\gamesum-10\Scientist's Chamber\Assets\ImportedAssets\TextMesh Pro\Shaders\TMPro_Mobile.cginc", "HLSL", 0, 0, 0, 122, 0, 0, 2, 34, 158
"c:\Users\gamesum-10\Scientist's Chamber\Assets\ImportedAssets\TextMesh Pro\Shaders\TMPro_Properties.cginc", "HLSL", 0, 0, 0, 62, 0, 0, 10, 14, 86
"c:\Users\gamesum-10\Scientist's Chamber\Assets\ImportedAssets\TextMesh Pro\Shaders\TMPro_Surface.cginc", "HLSL", 0, 0, 0, 76, 0, 0, 7, 19, 102
"c:\Users\gamesum-10\Scientist's Chamber\Assets\ImportedAssets\TextMesh Pro\Sprites\EmojiOne.json", "JSON", 155, 0, 0, 0, 0, 0, 0, 2, 157
"c:\Users\gamesum-10\Scientist's Chamber\Assets\Scripts\CursorManager.cs", "C#", 0, 0, 0, 0, 80, 0, 0, 8, 88
"c:\Users\gamesum-10\Scientist's Chamber\Assets\Scripts\Dialogue\DialogueManager.cs", "C#", 0, 0, 0, 0, 88, 0, 3, 15, 106
"c:\Users\gamesum-10\Scientist's Chamber\Assets\Scripts\Dialogue\DialogueTrigger.cs", "C#", 0, 0, 0, 0, 12, 0, 0, 3, 15
"c:\Users\gamesum-10\Scientist's Chamber\Assets\Scripts\Dialogue\ObjectDialogue.cs", "C#", 0, 0, 0, 0, 11, 0, 0, 3, 14
"c:\Users\gamesum-10\Scientist's Chamber\Assets\Scripts\Dialogue\Story.cs", "C#", 0, 0, 0, 0, 11, 0, 0, 3, 14
"c:\Users\gamesum-10\Scientist's Chamber\Assets\Scripts\DontDestroyOnLoadManager.cs", "C#", 0, 0, 0, 0, 34, 0, 0, 6, 40
"c:\Users\gamesum-10\Scientist's Chamber\Assets\Scripts\FPS.cs", "C#", 0, 0, 0, 0, 28, 0, 1, 6, 35
"c:\Users\gamesum-10\Scientist's Chamber\Assets\Scripts\HighLightObject.cs", "C#", 0, 0, 0, 0, 24, 0, 0, 3, 27
"c:\Users\gamesum-10\Scientist's Chamber\Assets\Scripts\HighlightAll.cs", "C#", 0, 0, 0, 0, 24, 0, 0, 3, 27
"c:\Users\gamesum-10\Scientist's Chamber\Assets\Scripts\Mechanics\BezierMovement.cs", "C#", 0, 0, 0, 0, 25, 0, 1, 10, 36
"c:\Users\gamesum-10\Scientist's Chamber\Assets\Scripts\Mechanics\CameraZoom.cs", "C#", 0, 0, 0, 0, 51, 0, 0, 5, 56
"c:\Users\gamesum-10\Scientist's Chamber\Assets\Scripts\Mechanics\DragAnDrop.cs", "C#", 0, 0, 0, 0, 40, 0, 2, 8, 50
"c:\Users\gamesum-10\Scientist's Chamber\Assets\Scripts\Mechanics\FindEmptySlot.cs", "C#", 0, 0, 0, 0, 20, 0, 0, 3, 23
"c:\Users\gamesum-10\Scientist's Chamber\Assets\Scripts\Mechanics\FramedObjects.cs", "C#", 0, 0, 0, 0, 135, 0, 5, 25, 165
"c:\Users\gamesum-10\Scientist's Chamber\Assets\Scripts\Mechanics\ObjectPath.cs", "C#", 0, 0, 0, 0, 103, 0, 3, 26, 132
"c:\Users\gamesum-10\Scientist's Chamber\Assets\Scripts\Mechanics\OnMouseEvents.cs", "C#", 0, 0, 0, 0, 148, 0, 5, 15, 168
"c:\Users\gamesum-10\Scientist's Chamber\Assets\Scripts\Mechanics\Particles.cs", "C#", 0, 0, 0, 0, 32, 0, 0, 6, 38
"c:\Users\gamesum-10\Scientist's Chamber\Assets\Scripts\SceneLoaded.cs", "C#", 0, 0, 0, 0, 142, 0, 10, 25, 177
"c:\Users\gamesum-10\Scientist's Chamber\Assets\Scripts\ScriptableObjects\InfoDisplay.cs", "C#", 0, 0, 0, 0, 18, 0, 0, 4, 22
"c:\Users\gamesum-10\Scientist's Chamber\Assets\Scripts\ScriptableObjects\Information.cs", "C#", 0, 0, 0, 0, 10, 0, 0, 4, 14
"c:\Users\gamesum-10\Scientist's Chamber\Assets\Scripts\Singletons\Inventory.cs", "C#", 0, 0, 0, 0, 32, 0, 0, 5, 37
"c:\Users\gamesum-10\Scientist's Chamber\Assets\Scripts\Singletons\Objects.cs", "C#", 0, 0, 0, 0, 59, 0, 0, 11, 70
"c:\Users\gamesum-10\Scientist's Chamber\Assets\Scripts\Singletons\PlaceholdersDDOL.cs", "C#", 0, 0, 0, 0, 18, 0, 0, 3, 21
"c:\Users\gamesum-10\Scientist's Chamber\Assets\Scripts\Singletons\RouteSave.cs", "C#", 0, 0, 0, 0, 13, 0, 0, 2, 15
"c:\Users\gamesum-10\Scientist's Chamber\Assets\Scripts\TimerManager.cs", "C#", 0, 0, 0, 0, 57, 0, 2, 6, 65
"c:\Users\gamesum-10\Scientist's Chamber\Assets\Scripts\UI\EndScreen.cs", "C#", 0, 0, 0, 0, 12, 0, 0, 2, 14
"c:\Users\gamesum-10\Scientist's Chamber\Assets\Scripts\UI\MainMenu.cs", "C#", 0, 0, 0, 0, 58, 0, 7, 10, 75
"c:\Users\gamesum-10\Scientist's Chamber\Assets\Scripts\UI\NextScene.cs", "C#", 0, 0, 0, 0, 12, 0, 0, 3, 15
"c:\Users\gamesum-10\Scientist's Chamber\Assets\Scripts\UI\OnHoverUI.cs", "C#", 0, 0, 0, 0, 35, 0, 0, 6, 41
"c:\Users\gamesum-10\Scientist's Chamber\Assets\Scripts\UI\PauseMenu.cs", "C#", 0, 0, 0, 0, 52, 0, 0, 7, 59
"c:\Users\gamesum-10\Scientist's Chamber\Assets\Scripts\UI\PreviousScene.cs", "C#", 0, 0, 0, 0, 12, 0, 0, 3, 15
"c:\Users\gamesum-10\Scientist's Chamber\Assets\Scripts\UI\Route.cs", "C#", 0, 0, 0, 0, 22, 0, 0, 5, 27
"c:\Users\gamesum-10\Scientist's Chamber\Assets\Scripts\UI\ShowHint.cs", "C#", 0, 0, 0, 0, 50, 0, 0, 5, 55
"c:\Users\gamesum-10\Scientist's Chamber\Assets\Scripts\WorkshopLight.cs", "C#", 0, 0, 0, 0, 20, 0, 0, 4, 24
"c:\Users\gamesum-10\Scientist's Chamber\Logs\AssetImportWorker0-prev.log", "Log", 0, 602, 0, 0, 0, 0, 0, 51, 653
"c:\Users\gamesum-10\Scientist's Chamber\Logs\AssetImportWorker0.log", "Log", 0, 53, 0, 0, 0, 0, 0, 2, 55
"c:\Users\gamesum-10\Scientist's Chamber\Logs\AssetImportWorker1.log", "Log", 0, 877, 0, 0, 0, 0, 0, 63, 940
"c:\Users\gamesum-10\Scientist's Chamber\Logs\Packages-Update.log", "Log", 0, 47, 0, 0, 0, 0, 0, 4, 51
"c:\Users\gamesum-10\Scientist's Chamber\Logs\shadercompiler-AssetImportWorker0.log", "Log", 0, 2, 0, 0, 0, 0, 0, 2, 4
"c:\Users\gamesum-10\Scientist's Chamber\Logs\shadercompiler-UnityShaderCompiler.exe0.log", "Log", 0, 150, 0, 0, 0, 0, 0, 76, 226
"c:\Users\gamesum-10\Scientist's Chamber\Logs\shadercompiler-UnityShaderCompiler.exe1.log", "Log", 0, 16, 0, 0, 0, 0, 0, 6, 22
"c:\Users\gamesum-10\Scientist's Chamber\Logs\shadercompiler-UnityShaderCompiler.exe10.log", "Log", 0, 18, 0, 0, 0, 0, 0, 7, 25
"c:\Users\gamesum-10\Scientist's Chamber\Logs\shadercompiler-UnityShaderCompiler.exe11.log", "Log", 0, 8, 0, 0, 0, 0, 0, 5, 13
"c:\Users\gamesum-10\Scientist's Chamber\Logs\shadercompiler-UnityShaderCompiler.exe2.log", "Log", 0, 10, 0, 0, 0, 0, 0, 6, 16
"c:\Users\gamesum-10\Scientist's Chamber\Logs\shadercompiler-UnityShaderCompiler.exe3.log", "Log", 0, 16, 0, 0, 0, 0, 0, 6, 22
"c:\Users\gamesum-10\Scientist's Chamber\Logs\shadercompiler-UnityShaderCompiler.exe4.log", "Log", 0, 6, 0, 0, 0, 0, 0, 4, 10
"c:\Users\gamesum-10\Scientist's Chamber\Logs\shadercompiler-UnityShaderCompiler.exe5.log", "Log", 0, 10, 0, 0, 0, 0, 0, 6, 16
"c:\Users\gamesum-10\Scientist's Chamber\Logs\shadercompiler-UnityShaderCompiler.exe6.log", "Log", 0, 8, 0, 0, 0, 0, 0, 5, 13
"c:\Users\gamesum-10\Scientist's Chamber\Logs\shadercompiler-UnityShaderCompiler.exe7.log", "Log", 0, 8, 0, 0, 0, 0, 0, 5, 13
"c:\Users\gamesum-10\Scientist's Chamber\Logs\shadercompiler-UnityShaderCompiler.exe8.log", "Log", 0, 17, 0, 0, 0, 0, 0, 8, 25
"c:\Users\gamesum-10\Scientist's Chamber\Logs\shadercompiler-UnityShaderCompiler.exe9.log", "Log", 0, 6, 0, 0, 0, 0, 0, 4, 10
"c:\Users\gamesum-10\Scientist's Chamber\Packages\manifest.json", "JSON", 50, 0, 0, 0, 0, 0, 0, 1, 51
"c:\Users\gamesum-10\Scientist's Chamber\Packages\packages-lock.json", "JSON", 463, 0, 0, 0, 0, 0, 0, 1, 464
"Total", "-", 668, 1854, 2015, 323, 1488, 1543, 135, 1163, 9189
