"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\draga\OneDrive\Desktop\Git\Scientists-Chamber\Assets\Scripts\CursorManager.cs", "C#", 79, 0, 8, 87
"c:\Users\draga\OneDrive\Desktop\Git\Scientists-Chamber\Assets\Scripts\Dialogue\DialogueManager.cs", "C#", 123, 3, 15, 141
"c:\Users\draga\OneDrive\Desktop\Git\Scientists-Chamber\Assets\Scripts\Dialogue\DialogueTrigger.cs", "C#", 15, 0, 3, 18
"c:\Users\draga\OneDrive\Desktop\Git\Scientists-Chamber\Assets\Scripts\Dialogue\ObjectDialogue.cs", "C#", 9, 0, 2, 11
"c:\Users\draga\OneDrive\Desktop\Git\Scientists-Chamber\Assets\Scripts\Dialogue\Story.cs", "C#", 11, 0, 3, 14
"c:\Users\draga\OneDrive\Desktop\Git\Scientists-Chamber\Assets\Scripts\DontDestroyOnLoadManager.cs", "C#", 34, 0, 6, 40
"c:\Users\draga\OneDrive\Desktop\Git\Scientists-Chamber\Assets\Scripts\FPS.cs", "C#", 28, 0, 5, 33
"c:\Users\draga\OneDrive\Desktop\Git\Scientists-Chamber\Assets\Scripts\HighLightObject.cs", "C#", 29, 0, 6, 35
"c:\Users\draga\OneDrive\Desktop\Git\Scientists-Chamber\Assets\Scripts\HighlightAll.cs", "C#", 24, 0, 3, 27
"c:\Users\draga\OneDrive\Desktop\Git\Scientists-Chamber\Assets\Scripts\Intro.cs", "C#", 19, 0, 2, 21
"c:\Users\draga\OneDrive\Desktop\Git\Scientists-Chamber\Assets\Scripts\LevelLoader.cs", "C#", 21, 0, 5, 26
"c:\Users\draga\OneDrive\Desktop\Git\Scientists-Chamber\Assets\Scripts\Mechanics\BezierCurvePath.cs", "C#", 24, 2, 9, 35
"c:\Users\draga\OneDrive\Desktop\Git\Scientists-Chamber\Assets\Scripts\Mechanics\CameraZoom.cs", "C#", 51, 0, 5, 56
"c:\Users\draga\OneDrive\Desktop\Git\Scientists-Chamber\Assets\Scripts\Mechanics\DragAnDrop.cs", "C#", 41, 2, 6, 49
"c:\Users\draga\OneDrive\Desktop\Git\Scientists-Chamber\Assets\Scripts\Mechanics\FindEmptySlot.cs", "C#", 20, 0, 2, 22
"c:\Users\draga\OneDrive\Desktop\Git\Scientists-Chamber\Assets\Scripts\Mechanics\FramedObjects.cs", "C#", 133, 2, 24, 159
"c:\Users\draga\OneDrive\Desktop\Git\Scientists-Chamber\Assets\Scripts\Mechanics\ObjectMovement.cs", "C#", 152, 11, 52, 215
"c:\Users\draga\OneDrive\Desktop\Git\Scientists-Chamber\Assets\Scripts\Mechanics\OnMouseEvents.cs", "C#", 198, 14, 26, 238
"c:\Users\draga\OneDrive\Desktop\Git\Scientists-Chamber\Assets\Scripts\Mechanics\Particles.cs", "C#", 60, 6, 8, 74
"c:\Users\draga\OneDrive\Desktop\Git\Scientists-Chamber\Assets\Scripts\SceneLoaded.cs", "C#", 146, 7, 25, 178
"c:\Users\draga\OneDrive\Desktop\Git\Scientists-Chamber\Assets\Scripts\ScriptableObjects\InfoDisplay.cs", "C#", 16, 2, 4, 22
"c:\Users\draga\OneDrive\Desktop\Git\Scientists-Chamber\Assets\Scripts\ScriptableObjects\Information.cs", "C#", 10, 0, 4, 14
"c:\Users\draga\OneDrive\Desktop\Git\Scientists-Chamber\Assets\Scripts\Singletons\Inventory.cs", "C#", 32, 0, 5, 37
"c:\Users\draga\OneDrive\Desktop\Git\Scientists-Chamber\Assets\Scripts\Singletons\Objects.cs", "C#", 59, 0, 11, 70
"c:\Users\draga\OneDrive\Desktop\Git\Scientists-Chamber\Assets\Scripts\Singletons\ParticlesSave.cs", "C#", 13, 0, 2, 15
"c:\Users\draga\OneDrive\Desktop\Git\Scientists-Chamber\Assets\Scripts\Singletons\PlaceholdersDDOL.cs", "C#", 18, 0, 3, 21
"c:\Users\draga\OneDrive\Desktop\Git\Scientists-Chamber\Assets\Scripts\Singletons\RouteSave.cs", "C#", 13, 0, 3, 16
"c:\Users\draga\OneDrive\Desktop\Git\Scientists-Chamber\Assets\Scripts\TimerManager.cs", "C#", 76, 8, 10, 94
"c:\Users\draga\OneDrive\Desktop\Git\Scientists-Chamber\Assets\Scripts\UI\EndScreen.cs", "C#", 34, 0, 4, 38
"c:\Users\draga\OneDrive\Desktop\Git\Scientists-Chamber\Assets\Scripts\UI\MainMenu.cs", "C#", 63, 7, 11, 81
"c:\Users\draga\OneDrive\Desktop\Git\Scientists-Chamber\Assets\Scripts\UI\NextScene.cs", "C#", 12, 0, 3, 15
"c:\Users\draga\OneDrive\Desktop\Git\Scientists-Chamber\Assets\Scripts\UI\OnHoverUI.cs", "C#", 40, 4, 9, 53
"c:\Users\draga\OneDrive\Desktop\Git\Scientists-Chamber\Assets\Scripts\UI\PauseMenu.cs", "C#", 71, 2, 11, 84
"c:\Users\draga\OneDrive\Desktop\Git\Scientists-Chamber\Assets\Scripts\UI\PreviousScene.cs", "C#", 15, 0, 2, 17
"c:\Users\draga\OneDrive\Desktop\Git\Scientists-Chamber\Assets\Scripts\UI\Route.cs", "C#", 22, 0, 5, 27
"c:\Users\draga\OneDrive\Desktop\Git\Scientists-Chamber\Assets\Scripts\UI\ShowHint.cs", "C#", 81, 1, 10, 92
"c:\Users\draga\OneDrive\Desktop\Git\Scientists-Chamber\Assets\Scripts\WorkshopLight.cs", "C#", 15, 0, 2, 17
"Total", "-", 1807, 71, 314, 2192
